exerciseNumber,puzzleId,difficulty,game,solutionSequence,moveCount,extractionConfidence,sourcePdfPage
12,easy-0012,easy,"Joseph Blackburne - Wilhelm Steinitz, London 1883","[""Qh6+"", ""Kg8"", ""Rf8+"", ""Qxf8"", ""Qxh7#""]",5,medium,225
13,easy-0013,easy,"Isidor Gunsberg - Wilhelm Steinitz, New York (2) 1890","[""Nc3"", ""Bxc3"", ""Bxc1""]",3,medium,225
14,easy-0014,easy,"Wilhelm Steinitz - Mikhail Chigorin, Havana (8) 1892","[""Rxd3"", ""Bg2"", ""Qxd3"", ""Qe1+""]",4,medium,225
15,easy-0015,easy,"Wilhelm Steinitz - Dirk van Foreest, Haarlem (simul) 1896","[""Qxf1+""]",1,medium,225
16,easy-0016,easy,"Wilhelm Steinitz - Reyne, Haarlem (simul) 1896","[""Nxg5"", ""fxg5"", ""Qe7+"", ""Qh5+""]",4,medium,225
17,easy-0017,easy,"Wilhelm Steinitz - Falk, Moscow 1896","[""Nxa7+"", ""Nxa7"", ""Bxa6+""]",3,medium,225
18,easy-0018,easy,"Wilhelm Steinitz - T.J.D. Enderle, Haarlem (simul) 1896","[""Bxf7+"", ""Kxf7"", ""Nxe5+""]",3,medium,225
19,easy-0019,easy,"Jackson Showalter - Wilhelm Steinitz, Vienna 1898","[""Rxe3"", ""Qxb4"", ""Qxe3"", ""Qc2#""]",4,medium,225
20,easy-0020,easy,"Emanuel Lasker - C.R. McBride, USA (simul) 1902","[""Nxg5"", ""fxg5"", ""h6"", ""Qh5+""]",4,medium,225
21,easy-0021,easy,"Emanuel Lasker - E.W. Witchard, Gloucester (simul) 1908","[""Nxg5"", ""fxg5"", ""Qh5+"", ""Ke7"", ""Qxg5+""]",5,medium,226
22,easy-0022,easy,"Carl Hartlaub - Emanuel Lasker, Germany 1908","[""Nxe5"", ""d5"", ""fxe5"", ""Qh5+"", ""g6"", ""Ke7"", ""Qxe5#"", ""Qxe5+"", ""Qe7"", ""Qxh8+""]",10,medium,226
